CpG;Gene Location;;Annotated Gene;AN-active;;AN-remitted;;No Eating Disorder;
;chr;Relation to island;;Mean;SD;Mean;SD;Mean;SD
cg25924746;chr13 ;N_Shore;IRS2;0.62821614;0.04767649;0.64793566;0.03820156;0.66400167;0.03867149
cg18011760;chr2;OpenSea;;0.74345631;0.06668624;0.80631729;0.04446978;0.81286265;0.03774925
cg04055490;chr17;N_Shore;PER1;0.4178639;0.0470374;0.46338969;0.03812694;0.47073912;0.03299823
;;;;;;;;;
cg24166814;chr2;OpenSea;;0.71828829;0.04997319;0.76374439;0.02353611;0.76756763;0.0289874
;;;;;;;;;
cg23597162;chr7;OpenSea;JAZF1;0.51422435;0.08502442;0.46679937;0.07240771;0.45547008;0.08004079
;;;;;;;;;
cg11067407;chr11;OpenSea;;0.51387863;0.05776582;0.47063459;0.04065974;0.47097272;0.0481956
cg24480146B;chr10;S_Shore;;0.67965882;0.04235332;0.63977087;0.05370446;0.64335086;0.03997276
cg10438589;chr4;OpenSea;"KLF9; MGC4836";0.39646356;0.06811335;0.40956765;0.05757986;0.42240518;0.06429392
cg06983052;chr1;S_Shore;LRRC8D;0.59760246;0.04206847;0.56254232;0.03281665;0.56076102;0.04082557
cg00323842;chr5;OpenSea;ZNF608;0.66377961;0.0503455;0.61666824;0.04338282;0.62175054;0.04956867
cg23198623;chr2;N_Shelf;BUB1;0.36731529;0.04542321;0.34723432;0.03323453;0.34194391;0.04288954
cg26033520;chr10;OpenSea;;0.63259389;0.04023091;0.67331337;0.03624788;0.68192691;0.03409657
cg00049440;chr9;N_Shore;KLF9;0.18790432;0.03926569;0.16963942;0.03141965;0.16478925;0.02951949
cg05641843;chr17;S_Shore;"SENP3-EIF4A1;";0.61672525;0.03350759;0.64111816;0.01986493;0.64483972;0.02511619
;;;SNORA48;;;;;;
cg06804705;chr21;OpenSea;NCRNA00114;0.71586683;0.05558407;0.75517629;0.0316339;0.76342944;0.03379024
cg26701785;chr6;OpenSea;"SYNJ2; AK026758";0.7742194;0.04314776;0.79994955;0.04273695;0.81209395;0.03423195
cg21416692;chr1;OpenSea;PHC2;0.67268296;0.04024123;0.68507846;0.03305871;0.6953796;0.03292048
cg07769588;chr19;S_Shore;ATG4D;0.46073297;0.03876167;0.49371312;0.02744394;0.4964101;0.03216432
cg20975182;chr1;N_Shore;BAI2;0.68896136;0.0430031;0.71198124;0.03552545;0.71932911;0.04032075
cg25197194;chr3;OpenSea;CCDC48 ;0.50289248;0.05103559;0.46691078;0.03895887;0.46145562;0.04031585
cg19257111;chr15;OpenSea;PTPLAD1 (aka HACD3);0.44299954;0.04022508;0.48259807;0.04537739;0.4873521;0.0372184
cg27554156;chr12;OpenSea;GSG1;0.78424917;0.0306032;0.75952477;0.02818902;0.75644625;0.03289987
cg12999366;chr7;OpenSea;NOD1;0.66973469;0.05932825;0.63286102;0.05170331;0.62312231;0.05969183
cg00602326;chr5;OpenSea;RNASEN (aka DROSHA);0.71436688;0.0379466;0.67878157;0.03644769;0.67430201;0.04214124
cg07027613;chr12;OpenSea;"C1RL;";0.2099841;0.04063603;0.22202432;0.03909835;0.23516714;0.03872219
;;;LOC283314;;;;;;
cg14422240;chr6;OpenSea;FTSJD2 ;0.66406414;0.0741872;0.61267849;0.0577363;0.61020686;0.06737362
cg07134632;chr4;N_Shelf;ADD1;0.66385308;0.03810531;0.67675703;0.03339403;0.68043608;0.03292875
cg14195992;chr8;OpenSea;KIAA0146 ;0.67475602;0.04835102;0.69663865;0.03441809;0.7036692;0.03640411
cg01447828;chr19;OpenSea;PRX ;0.56648791;0.04063242;0.60039828;0.03356956;0.59311645;0.03364516
cg23944298;chr3;OpenSea;BX537548;0.49323381;0.04038561;0.4717012;0.02976606;0.46121714;0.03561707
cg12671632;chr6;N_Shore;;0.63312424;0.06035542;0.67658649;0.04815616;0.68018316;0.05532938
cg05487134;chr17;OpenSea;STAT3;0.52023363;0.06976815;0.50073684;0.05106459;0.49832189;0.06562157
cg06036471;chr10;OpenSea;CPEB3;0.28050722;0.04968212;0.26903794;0.04222887;0.27193996;0.04977814
cg17833746 ;chr17;OpenSea;STAT3;0.5098;0.058166;0.48875;0.041287;0.49097;0.04492
cg18091264;chr15;OpenSea;"SNORD18A; RPL4;";0.45162577;0.04038346;0.47287485;0.02228888;0.48181209;0.0303311
;;;"SNORD18B; SNORD16";;;;;;
cg15512289;chr1;OpenSea;;0.56226006;0.05858034;0.59281869;0.06240637;0.6157227;0.04450991
cg19373099;chr2;N_Shelf;;0.50299379;0.06486129;0.53081158;0.05872006;0.53889886;0.06823008
