CpG;Gene Location;;Annotated Gene;Description of function and /or associated diseases;t-value;
;chr;Relation to island;;;AN-active vs.;AN-active vs. remitted
;;;;;control;
cg25924746;chr13 ;N_Shore;IRS2;Encodes the insulin receptor substrate 2;-9.22;-6.81
cg18011760;chr2;OpenSea;;-;-8.09;-7.97
cg04055490;chr17;N_Shore;PER1;Encodes components of the circadian rhythms of locomotor activity, metabolism, and behavior. ;-7.85;-7.62
;;;;;;
;;;;;;
cg24166814;chr2;OpenSea;;-;-7.74;-7.12
;;;;;;
cg23597162;chr7;OpenSea;JAZF1;Functions as a transcriptional repressor. Associated with endometrial stromal tumors and with type 2 diabetes and lipid metabolism.;7.65;5.70
;;;;;;
cg11067407;chr11;OpenSea;;-;7.50;7.02
cg24480146B;chr10;S_Shore;;-;7.40;6.64
cg10438589;chr4;OpenSea;"KLF9; MGC4836";The protein encoded by this gene is a transcription factor that binds to GC box elements located in the promoter.;-7.15;-5.21
cg06983052;chr1;S_Shore;LRRC8D;Acts as a regulator of glucose-sensing in pancreatic beta cells.;7.10;6.66
cg00323842;chr5;OpenSea;ZNF608;Diseases associated with ZNF608 include leukodystrophy.;7.08;8.26
;;;;;;
cg23198623;chr2;N_Shelf;BUB1;Encodes a serine/threonine-protein kinase that play a central role in mitosis. This protein may also function in the DNA damage response. Associated diseases are aneuploidy and several forms of cancer.;7.06;6.61
cg26033520;chr10;OpenSea;;-;-6.95;-6.00
cg00049440;chr9;N_Shore;KLF9;The protein encoded by this gene is a transcription factor that binds to GC box elements located in the promoter.;6.85;5.05
cg05641843;chr17;S_Shore;"SENP3-EIF4A1;";Affiliated with the lncRNA class. An important paralog of this gene is SENP3.;-6.81;-5.66
;;;SNORA48;;;
cg06804705;chr21;OpenSea;NCRNA00114;RNA Gene, and is affiliated with the lncRNA class. One study showed an association with preterm birth (Xiumei et al., 2017);-6.69;-5.82
cg26701785;chr6;OpenSea;"SYNJ2; AK026758";Associated diseases are Charcot-Marie-Tooth Disease, and amyotro-phic lateral sclerosis 11. ;-6.69;-5.21
